Experiment Log Started

========================================
Running Architecture: ConvNeXt + Baseline
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 18/25 | Train Loss: 0.4347 | Train Acc: 79.01%
    Epoch 9/25 | Train Loss: 0.0010 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.5350 | Train Acc: 81.48%
    Epoch 20/25 | Train Loss: 0.4395 | Train Acc: 80.25%
    Epoch 21/25 | Train Loss: 0.7229 | Train Acc: 67.90%
    Epoch 22/25 | Train Loss: 0.6865 | Train Acc: 65.43%
    Epoch 23/25 | Train Loss: 0.8448 | Train Acc: 54.32%
    Epoch 10/25 | Train Loss: 0.0016 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.6630 | Train Acc: 62.96%
    Epoch 25/25 | Train Loss: 0.6724 | Train Acc: 56.79%
  > Split: 10% | Seed: 30 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.7245 | Train Acc: 49.38%
    Epoch 11/25 | Train Loss: 0.0007 | Train Acc: 100.00%
    Epoch 2/25 | Train Loss: 0.7110 | Train Acc: 49.38%
    Epoch 3/25 | Train Loss: 0.6952 | Train Acc: 58.02%
    Epoch 4/25 | Train Loss: 0.7375 | Train Acc: 49.38%
    Epoch 5/25 | Train Loss: 0.7095 | Train Acc: 53.09%
    Epoch 12/25 | Train Loss: 0.0005 | Train Acc: 100.00%
    Epoch 6/25 | Train Loss: 0.7331 | Train Acc: 53.09%
    Epoch 7/25 | Train Loss: 0.7188 | Train Acc: 49.38%
    Epoch 8/25 | Train Loss: 0.7089 | Train Acc: 49.38%
    Epoch 9/25 | Train Loss: 0.7334 | Train Acc: 53.09%
    Epoch 10/25 | Train Loss: 0.6856 | Train Acc: 55.56%
    Epoch 13/25 | Train Loss: 0.0005 | Train Acc: 100.00%
    Epoch 11/25 | Train Loss: 0.7394 | Train Acc: 49.38%
    Epoch 12/25 | Train Loss: 0.7239 | Train Acc: 43.21%
    Epoch 13/25 | Train Loss: 0.6966 | Train Acc: 46.91%
    Epoch 14/25 | Train Loss: 0.6965 | Train Acc: 48.15%
    Epoch 14/25 | Train Loss: 0.0004 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.7090 | Train Acc: 44.44%
    Epoch 16/25 | Train Loss: 0.6927 | Train Acc: 55.56%
    Epoch 17/25 | Train Loss: 0.6785 | Train Acc: 60.49%
    Epoch 18/25 | Train Loss: 0.7613 | Train Acc: 44.44%
    Epoch 15/25 | Train Loss: 0.0003 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.7141 | Train Acc: 54.32%
    Epoch 20/25 | Train Loss: 0.6806 | Train Acc: 60.49%
    Epoch 21/25 | Train Loss: 0.7177 | Train Acc: 48.15%
    Epoch 22/25 | Train Loss: 0.6806 | Train Acc: 54.32%
    Epoch 16/25 | Train Loss: 0.0003 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.6688 | Train Acc: 59.26%
    Epoch 24/25 | Train Loss: 0.7013 | Train Acc: 55.56%
    Epoch 25/25 | Train Loss: 0.6484 | Train Acc: 65.43%
  > Split: 10% | Seed: 40 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.7213 | Train Acc: 49.38%
    Epoch 17/25 | Train Loss: 0.0002 | Train Acc: 100.00%
    Epoch 2/25 | Train Loss: 0.7500 | Train Acc: 45.68%
    Epoch 3/25 | Train Loss: 0.7199 | Train Acc: 48.15%
    Epoch 4/25 | Train Loss: 0.6962 | Train Acc: 55.56%
    Epoch 5/25 | Train Loss: 0.6944 | Train Acc: 51.85%
    Epoch 18/25 | Train Loss: 0.0004 | Train Acc: 100.00%
    Epoch 6/25 | Train Loss: 0.7333 | Train Acc: 48.15%
    Epoch 7/25 | Train Loss: 0.6658 | Train Acc: 60.49%
    Epoch 8/25 | Train Loss: 0.7035 | Train Acc: 51.85%
    Epoch 9/25 | Train Loss: 0.6962 | Train Acc: 50.62%
    Epoch 19/25 | Train Loss: 0.0001 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.6920 | Train Acc: 60.49%
    Epoch 11/25 | Train Loss: 0.7005 | Train Acc: 50.62%
    Epoch 12/25 | Train Loss: 0.6793 | Train Acc: 59.26%
    Epoch 13/25 | Train Loss: 0.7585 | Train Acc: 43.21%
    Epoch 14/25 | Train Loss: 0.7117 | Train Acc: 48.15%
    Epoch 20/25 | Train Loss: 0.0001 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.7375 | Train Acc: 46.91%
    Epoch 16/25 | Train Loss: 0.7216 | Train Acc: 55.56%
