Experiment Log Started

========================================
Running Architecture: ResNet50 + Baseline
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 19/25 | Train Loss: 0.0026 | Train Acc: 100.00%
    Epoch 20/25 | Train Loss: 0.0016 | Train Acc: 100.00%
    Epoch 21/25 | Train Loss: 0.0021 | Train Acc: 100.00%
    Epoch 22/25 | Train Loss: 0.0016 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0014 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.0009 | Train Acc: 100.00%
    Epoch 25/25 | Train Loss: 0.0009 | Train Acc: 100.00%
RESULT | Baseline | Split 50% | Acc: 0.9512 (+/- 0.0000) | Recall: 0.9520
  > Split: 80% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.4279 | Train Acc: 87.14%
    Epoch 2/25 | Train Loss: 0.1271 | Train Acc: 95.41%
    Epoch 3/25 | Train Loss: 0.0370 | Train Acc: 99.08%
    Epoch 4/25 | Train Loss: 0.0205 | Train Acc: 99.69%
    Epoch 5/25 | Train Loss: 0.0136 | Train Acc: 99.85%
    Epoch 6/25 | Train Loss: 0.0082 | Train Acc: 99.85%
    Epoch 7/25 | Train Loss: 0.0059 | Train Acc: 100.00%
    Epoch 8/25 | Train Loss: 0.0044 | Train Acc: 100.00%
    Epoch 9/25 | Train Loss: 0.0026 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.0441 | Train Acc: 98.77%
    Epoch 11/25 | Train Loss: 0.0606 | Train Acc: 98.16%
    Epoch 12/25 | Train Loss: 0.0164 | Train Acc: 99.39%
    Epoch 13/25 | Train Loss: 0.0214 | Train Acc: 99.69%
    Epoch 14/25 | Train Loss: 0.0098 | Train Acc: 99.85%
    Epoch 15/25 | Train Loss: 0.0058 | Train Acc: 99.85%
    Epoch 16/25 | Train Loss: 0.0042 | Train Acc: 100.00%
    Epoch 17/25 | Train Loss: 0.0054 | Train Acc: 99.85%
    Epoch 18/25 | Train Loss: 0.0040 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0021 | Train Acc: 100.00%
    Epoch 20/25 | Train Loss: 0.0043 | Train Acc: 99.85%
    Epoch 21/25 | Train Loss: 0.0026 | Train Acc: 99.85%
    Epoch 22/25 | Train Loss: 0.0011 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0006 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.0007 | Train Acc: 100.00%
